brand_name,category,brand_rank,notes,tiktok_handle,fans,total_posts,total_views,total_likes,total_comments,total_shares,avg_posts_per_week
NFL,Sports,,,nfl,6200000.0,488.0,912037900.0,137476200.0,981219.0,2145965.0,5.810
Amazon Prime Video,Tech,,"Couldn't find Amazon, but found Amazon Prime",amazonprimevideo  ,4400000.0,1651.0,2174022830.0,106476794.0,631984.0,1957871.0,42.000
Nickelodeon,Media,,,nickelodeon,11200000.0,1846.0,1210128100.0,195798686.0,1648120.0,1899414.0,9.170
NBA,Sports,,,nba,12400000.0,1838.0,1364923000.0,191441313.0,903687.0,1736530.0,24.740
We’re Not Really Strangers,Gaming,,,werenotreallystrangers,3000000.0,459.0,341402700.0,67505201.0,1361119.0,1694069.0,19.960
TikTok,Tech,,TODO,tiktok  ,52500000.0,139.0,1558412800.0,67905000.0,2867973.0,1641729.0,1.000
NBC Saturday Night Live,Media,,TODO,nbcsnl,2700000.0,64.0,179504800.0,30518200.0,327880.0,1382635.0,0.300
girls,Apparel,,,girls,8600000.0,438.0,347237200.0,78892600.0,1392486.0,1219989.0,8.840
5-Minute Crafts,Media,,,5.minute.crafts,8500000.0,413.0,1292852100.0,32298500.0,619224.0,1181967.0,4.790
NBA 2K,Gaming,,TODO,nba2k  ,1500000.0,61.0,102514600.0,15249000.0,344686.0,729098.0,1.480
Colts Mascot,Sports,,,blue,2400000.0,116.0,266567000.0,19762101.0,96286.0,674197.0,1.480
San Diego Zoo,Nonprofit,,,sandiegozoo,1800000.0,172.0,180741800.0,24067202.0,142972.0,662075.0,1.470
MTV,Media,,,mtv,5300000.0,894.0,399509960.0,46866443.0,419936.0,658339.0,3.610
Netflix,Tech,77,,netflix,13100000.0,294.0,419411100.0,58457298.0,670267.0,645738.0,8.500
Washington Post,Media,,TODO,washingtonpost,910400.0,593.0,166101956.0,27552146.0,149951.0,549908.0,6.020
Chipotle,Restaurants,,TODO,chipotle,1500000.0,156.0,150282000.0,27963844.0,264134.0,449834.0,1.750
Yahoo News,Media,,,yahoonews,1200000.0,207.0,98805647.0,98805647.0,533261.0,410634.0,
hbomax,Media,,,hbomax,687900.0,210.0,70050941.0,10163357.0,124191.0,272306.0,4.880
World Health Organization,Nonprofit,,,who,28000.0,92.0,396599600.0,8151707.0,51156.0,231752.0,1.600
Ryanair,Airlines,,,ryanair,552900.0,94.0,68490600.0,11573020.0,201353.0,217494.0,
Fortnite,Gaming,,,fortnite,4100000.0,36.0,96837900.0,10364800.0,381647.0,215277.0,0.470
Xbox,Gaming,,TODO,xbox,2100000.0,65.0,125395100.0,17623800.0,467174.0,204907.0,2.330
Red Bull,Soft Drinks,213,,redbull,5400000.0,370.0,162133300.0,17958056.0,79119.0,200817.0,4.800
Spikeball,Sports,,TODO,spikeball,667000.0,96.0,107341800.0,9678502.0,24486.0,178460.0,1.480
ESPN,Media,221,,espn,14600000.0,82.0,144223000.0,22503500.0,107265.0,164355.0,0.880
