brand_name,video_rank,link,views_000s,likes_000s,comments_000s,shares_000s,annotated,notes
Amazon Prime,2,https://www.tiktok.com/@amazonprimevideo/video/6894158124622695685,1100.0,17.0,17.8,15.5000,checked,
Amazon Prime,3,https://www.tiktok.com/@amazonprimevideo/video/6881763955438521606,860.3,27.4,29.3,34.3000,checked,
Amazon Prime,1,https://www.tiktok.com/@amazonprimevideo/video/6859881508983934214,2100.0,25.6,27.1,9.1710,checked,
Amazon Prime,4,https://www.tiktok.com/@amazonprimevideo/video/6881082903569124614,653.5,9.8,10.7,3.5450,checked,
Amazon Prime,5,https://www.tiktok.com/@amazonprimevideo/video/6870612519053020421,1200.0,18.5,20.1,9.1080,checked,
Alibaba,1,https://www.tiktok.com/@alibaba.com_official/video/6937327459817819398,22000.0,2300.0,7.8,5.6000,checked,
Alibaba,2,https://www.tiktok.com/@alibaba.com_official/video/6929503877561699589,21200.0,1900.0,3.4,3.7520,checked,
Alibaba,3,https://www.tiktok.com/@alibaba.com_official/video/6920240979333221638,16300.0,1700.0,2.0,1.9650,checked,
Alibaba,5,https://www.tiktok.com/@alibaba.com_official/video/6919134199412739334,10900.0,885.2,2.3,1.2750,checked,
Alibaba,4,https://www.tiktok.com/@alibaba.com_official/video/6922098556669054213,13200.0,1400.0,2.5,4.2370,checked,
Mercedes-Benz,1,https://www.tiktok.com/@mercedesbenz/video/6907258769093168385,7300.0,39.7,0.2,1.5840,checked,
Sony,1,https://www.tiktok.com/@sony/video/6937310708543671557,6400.0,83.8,0.4,0.1460,checked,
Mercedes-Benz,2,https://www.tiktok.com/@mercedesbenz/video/6909467941876632834,7000.0,106.1,0.1,1.4530,checked,
Mercedes-Benz,3,https://www.tiktok.com/@mercedesbenz/video/6907612016417000706,3900.0,139.4,0.2,1.5330,checked,
BMW,1,https://www.tiktok.com/@bmwusa/video/6911348539171835141,13900.0,1.2,5.0,12.8000,checked,
BMW,2,https://www.tiktok.com/@bmwusa/video/6911737848517364998,442.4,62.8,0.4,0.4010,checked,
BMW,4,https://www.tiktok.com/@bmwusa/video/6946162955692035334,148.0,22.6,0.2,0.1380,checked,
BMW,5,https://www.tiktok.com/@bmwusa/video/6923316847664188678,89.8,15.1,0.5,0.7770,checked,
Chevrolet,1,https://www.tiktok.com/@chevrolet/video/6930382594362068230,76100.0,684.2,18.1,27.2000,checked,
Chevrolet,2,https://www.tiktok.com/@chevrolet/video/6935469982755114245,4500.0,43.6,1.2,1.1200,checked,
Chevrolet,4,https://www.tiktok.com/@chevrolet/video/6932214462787194117,3200.0,32.8,1.3,0.8520,checked,
Chevrolet,3,https://www.tiktok.com/@chevrolet/video/6935182506987621638,3200.0,60.8,1.2,1.3460,checked,
Walmart,1,https://www.tiktok.com/@walmart/video/6863088363520445701,9200.0,463.9,0.6,0.8090,checked,
Chevrolet,5,https://www.tiktok.com/@chevrolet/video/6928053061013359877,710.0,15.6,0.5,0.1970,checked,
Walmart,2,https://www.tiktok.com/@walmart/video/6898470997402455301,6300.0,408.1,2.2,1.6330,checked,
Walmart,3,https://www.tiktok.com/@walmart/video/6937717677188320518,4800.0,99.1,0.9,0.3740,checked,
Costco,1,https://www.tiktok.com/@costcobuys/video/6921820981887536390,1400.0,3613.0,0.6,11.2000,checked,
Costco,2,https://www.tiktok.com/@costcobuys/video/6945928337118285062,981.2,11.7,0.4,5.3630,checked,
Costco,3,https://www.tiktok.com/@costcobuys/video/6927769375650925830,778.5,74.7,0.4,4.6930,checked,
Costco,5,https://www.tiktok.com/@costcobuys/video/6925169364987579653,576.5,51.9,0.2,2.7440,checked,
Costco,4,https://www.tiktok.com/@costcobuys/video/6938925048107388165,741.3,40.9,0.3,7.0910,checked,
Target,1,https://www.tiktok.com/@target/video/6920614905024400645,637.6,95.7,9.9,0.2470,checked,
Target,3,https://www.tiktok.com/@target/video/6921734111476337926,344.2,42.8,2.5,0.0870,checked,
Target,2,https://www.tiktok.com/@target/video/6920986907413417222,517.0,70.1,3.2,0.2450,checked,
Nike,2,https://www.tiktok.com/@nike/video/6795435424132205829,8500.0,1100.0,2.4,6.4290,checked,
Nike,1,https://www.tiktok.com/@nike/video/6793120889077632261,9900.0,586.0,3.8,2.6060,checked,
Nike,3,https://www.tiktok.com/@nike/video/6793123890177527045,5000.0,244.6,0.6,1.0290,checked,
Louis Vuitton,1,https://www.tiktok.com/@louisvuitton/video/6920998911373020418,11200.0,493.5,1.2,1.5380,checked,
Louis Vuitton,2,https://www.tiktok.com/@louisvuitton/video/6939167755287448837,5800.0,87.5,0.6,0.1560,checked,
Louis Vuitton,3,https://www.tiktok.com/@louisvuitton/video/6938393991889063174,5300.0,66.5,0.6,0.1780,checked,
Gucci ,1,https://www.tiktok.com/@gucci/video/6903571473261137154,19000.0,349.3,10.6,6.1040,checked,
Gucci ,2,https://www.tiktok.com/@gucci/video/6903903579703086338,13400.0,260.9,7.8,6.0000,checked,
Gucci ,3,https://www.tiktok.com/@gucci/video/6904224653649153281,12700.0,214.8,5.4,4.1000,checked,
Coach,1,https://www.tiktok.com/@coach/video/6898830789241359621,989.7,304.4,2.6,7.9970,checked,
Coach,3,https://www.tiktok.com/@coach/video/6937853869288443141,370.2,65.6,0.8,0.4740,checked,
Coach,2,https://www.tiktok.com/@coach/video/6909531116814847238,609.2,79.8,0.3,0.4410,checked,
Coach,4,https://www.tiktok.com/@coach/video/6847232777809612037,277.9,28.1,0.4,0.1170,checked,
Coach,5,https://www.tiktok.com/@coach/video/6909110094403833093,152.9,40.0,0.3,0.7070,checked,
Victoria's Secret,1,https://www.tiktok.com/@victoriassecret/video/6941471313986850054,66100.0,288.6,6.0,2.2750,checked,
Victoria's Secret,2,https://www.tiktok.com/@victoriassecret/video/6942519877454318854,6900.0,23.5,0.2,0.1270,checked,
Victoria's Secret,3,https://www.tiktok.com/@victoriassecret/video/6942470332808727814,6900.0,28.6,0.5,0.2280,checked,
Prada,1,https://www.tiktok.com/@prada/video/6919877832856423681,15500.0,365.2,0.2,2.1600,checked,
Prada,2,https://www.tiktok.com/@prada/video/6933238281136049413,11900.0,115.7,0.1,0.3640,checked,
Prada,3,https://www.tiktok.com/@prada/video/6934440308532841733,10400.0,115.1,0.1,0.2620,checked,
Polo Ralph Lauren,1,https://www.tiktok.com/@ralphlauren/video/6789672441502272774,6900.0,895.6,2.4,6.2010,checked,
