link,annontated_by,video_text,sound_track,sound_track_link,music_type,funny,relaxing,suspenseful,challenge_adventure,shows_product,call_to_action,tutorial,promotes_brand_event,listicle,shows_staff,features_influencer,features_celebrity,features_animal,uses_sex,dancing,onScreen_text,emojis,graphics_overlay,animated,conversation
https://www.tiktok.com/@7eleven/video/6858381583083244806,Jonathan,"You've got to be trippin' if you're not getting a Slurpee in this heat. Thanks, @evcnoble ! #SlurpeeSummer #OnlyAt7Eleven
","original sound - 7-Eleven
",https://www.tiktok.com/music/original-sound-6858381607422741254?is_copy_url=1&is_from_webapp=v1&lang=en,Upbeat,checked,,checked,,checked,,,,,,checked,,,,,,,,checked,checked
https://www.tiktok.com/@7eleven/video/6860631916136238342,Jonathan,@nat_bat_ + @itslilct created a dance for our @forever21 collab 🤑 Make a Big Gulp statement with your moves + be sure to tag #F21X7ELEVENCHALLENGE,original sound - 7-Eleven,https://www.tiktok.com/music/original-sound-6860631931185335046?lang=en,Upbeat,,,,checked,checked,,,checked,,,checked,,,,checked,,,,,
https://www.tiktok.com/@7eleven/video/6858384065859521797,Jonathan,"Bust a move and show us what you've got! Thanks, @joshkillacky ! #SlurpeeSummer #OnlyAt7Eleven",original sound - 7-Eleven,https://www.tiktok.com/music/original-sound-6858384069613669126?lang=en,Upbeat,,,,checked,checked,,,,,,checked,,,,checked,,,,,
https://www.tiktok.com/@adobe/video/6947708432841477381,Jonathan,"
","original sound - Adobe
",https://www.tiktok.com/music/original-sound-6947708348876016389?is_copy_url=1&is_from_webapp=v1&lang=en,Upbeat,checked,,,,,,,,,,,,,,,checked,,,checked,
https://www.tiktok.com/@alibaba.com_official/video/6937327459817819398,Jonathan,"This renewable line, super cool🤠🤠 #fyp",original sound - Alibaba.com,https://www.tiktok.com/music/original-sound-6937327387432454918?lang=en,Upbeat,checked,,,,checked,,checked,,,,,,,,,,,,,
https://www.tiktok.com/@alibaba.com_official/video/6929503877561699589,Jonathan,One of my favorite products from alibaba🥳🥳 #fyp #learnontiktok #alibaba,original sound - Alibaba.com,https://www.tiktok.com/music/original-sound-6929503864135846662?lang=en,Upbeat,checked,,,,checked,,checked,,,,,,,,,,,,,
https://www.tiktok.com/@alibaba.com_official/video/6920240979333221638,Jonathan,Maybe this is perfect for taking temperature 🤒🤒 #fyp #learnontiktok,original sound - Alibaba.com,https://www.tiktok.com/music/original-sound-6920240995141782278?is_copy_url=1&is_from_webapp=v1&lang=en,Upbeat,checked,,,,checked,,checked,,,,,,,,,,,,,
https://www.tiktok.com/@amazon/video/6863459718170561798,Jonathan,Every look for every back to school vibe 😎,original sound - Amazon,https://www.tiktok.com/music/original-sound-6863459734754740998?lang=en,Upbeat,checked,,,,checked,,,,,,,,,,checked,,,,checked,
https://www.tiktok.com/@amazon/video/6864942716007091462,Jonathan,Throw on your favorite back to school gear! 💫,original sound - Amazon,https://www.tiktok.com/music/original-sound-6864942720033622790?lang=en,Upbeat,checked,,,,checked,,,,,,,,,,checked,,,,checked,
https://www.tiktok.com/@amazon/video/6898386928723414278,Jonathan,Saving money on Amazon makes you smile more @jasoncoffee,original sound - Amazon,https://www.tiktok.com/music/original-sound-6898386971358513926?lang=en,No music,checked,,checked,,checked,,,checked,,,checked,,,,,,,,checked,checked
https://www.tiktok.com/@amazonprimevideo/video/6894158124622695685,Jonathan,And that’s that on that. #unclefrank #sophialillis #paulbettany #primevideo #unclefrankapv #fail #empowering #feminism #feminist,original sound - Amazon Prime Video,https://www.tiktok.com/music/original-sound-6894158456417274629?lang=en,No music,,,checked,,checked,,,,,,,checked,,,,checked,,,,
https://www.tiktok.com/@amazonprimevideo/video/6881763955438521606,Jonathan,He’s back. @borat #borat #primevideo #boratapv #BoratSubsequentMovieFilm,original sound - Amazon Prime Video,https://www.tiktok.com/music/original-sound-6881763997033433862?lang=en,Upbeat,checked,,,,,,,,,,,checked,,,,,,,,
https://www.tiktok.com/@amazonprimevideo/video/6859881508983934214,Jonathan,I’ve had this exact convo with my mom. 8/21 #chemicalhearts #lilireinhart #austinabrams #primevideo #crush #dating #chemicalheartsapv #love,original sound - Amazon Prime Video,https://www.tiktok.com/music/original-sound-6859881528751934213?lang=en,No music,,,checked,,checked,,,,,,,checked,,,,checked,,,,
https://www.tiktok.com/@bmwusa/video/6911348539171835141,Jonathan,The #oddlysatisfying BMW #Concepti4 . #bmw #sa t isfying #lo o p #ca r softiktok #ca r tiktok #an i mation #ae s thetic,original sound - BMW USA,https://www.tiktok.com/music/original-sound-6911348535040477958?lang=en,Upbeat,,checked,,,checked,,,,,,,,,,,,,,checked,
https://www.tiktok.com/@bmwusa/video/6911737848517364998,Jonathan,Did you catch the sneak peak through the flamingo float? #BMWi4 #bmw #oddlysatisfying #satisfying #loop #carsoftiktok #cartok #animation #aesthetic,original sound - BMW USA,https://www.tiktok.com/music/original-sound-6911737843941411590?lang=en,Upbeat,,checked,,,checked,,,,,,,,,,,,,,checked,
